epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2715,1.11081,5.23641,1.498,0.14189,0.91384,0.18683,0.14393,0.8342,2.78335,1.24342,0.000100223,0.000100223,0.000100223
2,114.035,1.04634,2.21834,1.39879,0.1574,0.80698,0.22822,0.18174,0.77376,1.71158,1.20833,0.000197239,0.000197239,0.000197239
3,169.028,0.96321,1.71315,1.33277,0.57662,0.69733,0.64192,0.52937,0.70954,1.31073,1.15903,0.000290255,0.000290255,0.000290255
4,222.695,0.97043,1.3078,1.34222,0.78074,0.84432,0.83981,0.66646,0.76708,0.86424,1.19989,0.000285002,0.000285002,0.000285002
5,277.251,0.94512,1.01223,1.31725,0.86488,0.88032,0.87333,0.69723,0.74213,0.70119,1.17326,0.000279002,0.000279002,0.000279002
6,332.138,0.91843,0.85883,1.28899,0.87559,0.89223,0.89241,0.72203,0.72844,0.61419,1.15782,0.000273003,0.000273003,0.000273003
7,387.415,0.90562,0.81992,1.29809,0.87507,0.92408,0.91044,0.74008,0.70547,0.55963,1.13458,0.000267004,0.000267004,0.000267004
8,440.461,0.87664,0.73533,1.26289,0.88125,0.91659,0.91649,0.75442,0.69438,0.54979,1.12842,0.000261004,0.000261004,0.000261004
9,494.062,0.88608,0.73863,1.26325,0.86541,0.92994,0.90836,0.75013,0.68815,0.53729,1.12085,0.000255005,0.000255005,0.000255005
10,547.761,0.86339,0.70339,1.25984,0.87669,0.91216,0.90466,0.72705,0.74669,0.56996,1.15107,0.000249005,0.000249005,0.000249005
11,603.442,0.86193,0.69084,1.24975,0.89574,0.91962,0.916,0.75306,0.6869,0.51366,1.11994,0.000243006,0.000243006,0.000243006
12,659.187,0.85788,0.66108,1.24399,0.88765,0.9369,0.91651,0.74755,0.71538,0.52339,1.13417,0.000237007,0.000237007,0.000237007
13,715.332,0.8267,0.64039,1.22822,0.89505,0.91508,0.91775,0.75289,0.695,0.51927,1.12917,0.000231007,0.000231007,0.000231007
14,770.525,0.8331,0.64278,1.23025,0.89229,0.93,0.92143,0.76365,0.66926,0.49051,1.10253,0.000225008,0.000225008,0.000225008
15,824.219,0.83639,0.62576,1.23,0.89673,0.93193,0.91759,0.75908,0.68182,0.49651,1.11354,0.000219008,0.000219008,0.000219008
16,880.331,0.83726,0.62016,1.23219,0.87991,0.94332,0.91943,0.76077,0.68228,0.50445,1.11111,0.000213009,0.000213009,0.000213009
