epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2688,1.23127,1.84376,1.64399,0.88611,0.94737,0.96286,0.61927,1.15092,1.97057,1.6823,0.000404762,0.000404762,0.000404762
2,34.6022,1.03323,0.81009,1.46941,0.71202,0.82414,0.70796,0.31419,1.46053,1.9578,2.04551,0.000811263,0.000811263,0.000811263
3,49.1463,1.10909,0.83495,1.52049,0.13454,0.75439,0.16865,0.06811,1.67783,17.1815,2.50131,0.00120745,0.00120745,0.00120745
4,63.6873,1.11024,0.82267,1.53226,0.03931,0.15789,0.01016,0.00298,3.93979,26.006,4.53516,0.00120359,0.00120359,0.00120359
5,77.4461,1.07123,0.7539,1.48109,0.76078,0.78118,0.80563,0.36138,1.78553,1.99923,2.45986,0.00118812,0.00118812,0.00118812
6,91.1572,1.12289,0.7679,1.54005,0.54833,0.92982,0.55437,0.38539,1.06503,1.51453,1.6387,0.00117266,0.00117266,0.00117266
7,104.931,1.10491,0.73894,1.51459,0.88308,0.92756,0.97362,0.61383,1.15619,0.81378,1.76958,0.00115719,0.00115719,0.00115719
8,119.068,1.10353,0.72037,1.52072,0.91409,0.9334,0.97329,0.70841,1.03367,0.73527,1.62432,0.00114172,0.00114172,0.00114172
9,133.214,1.03662,0.7036,1.46087,0.79532,0.88629,0.91975,0.5923,1.16419,0.93732,1.60895,0.00112625,0.00112625,0.00112625
10,146.978,1.01203,0.67807,1.43658,0.91455,0.94737,0.97549,0.57006,1.42339,0.93196,1.9072,0.00111078,0.00111078,0.00111078
11,161.212,0.9888,0.6609,1.42542,0.99247,0.94737,0.9896,0.73981,0.9579,0.6083,1.47755,0.00109531,0.00109531,0.00109531
12,175.655,1.02763,0.66276,1.4536,0.91174,0.90624,0.9698,0.61335,1.23088,0.81524,1.7743,0.00107984,0.00107984,0.00107984
13,190.086,0.97666,0.64955,1.4183,0.93209,0.96322,0.98278,0.78883,0.81183,0.59515,1.32132,0.00106437,0.00106437,0.00106437
14,204.994,0.95265,0.59252,1.37983,0.94483,1,0.98609,0.66915,1.13177,0.69179,1.57611,0.00104891,0.00104891,0.00104891
15,219.546,0.95545,0.59074,1.3881,0.96501,0.96784,0.98881,0.71987,0.98072,0.59336,1.47669,0.00103344,0.00103344,0.00103344
16,234.485,0.97569,0.62047,1.41144,0.91237,0.96491,0.98261,0.75083,0.97133,0.6711,1.5071,0.00101797,0.00101797,0.00101797
17,248.907,0.95247,0.58951,1.37274,0.8141,0.98246,0.96963,0.72653,0.95135,0.77663,1.48123,0.0010025,0.0010025,0.0010025
18,263.203,0.90885,0.57671,1.35101,0.98234,0.97568,0.98299,0.72849,0.88704,0.53229,1.43273,0.000987031,0.000987031,0.000987031
19,277.416,0.89222,0.5665,1.33903,0.99742,1,0.995,0.72531,0.93548,0.49987,1.4221,0.000971562,0.000971562,0.000971562
20,292.103,0.88817,0.56158,1.33266,0.91674,1,0.98658,0.75171,0.81508,0.51488,1.37065,0.000956094,0.000956094,0.000956094
21,306.166,0.88493,0.56606,1.34947,0.98265,0.99343,0.99448,0.75496,0.93972,0.52532,1.40024,0.000940625,0.000940625,0.000940625
22,320.141,0.87541,0.5479,1.32279,0.9352,0.94737,0.98563,0.78609,0.76571,0.53927,1.32622,0.000925156,0.000925156,0.000925156
23,333.443,0.87264,0.55233,1.33019,0.98096,1,0.99483,0.71251,0.99942,0.50707,1.46416,0.000909688,0.000909688,0.000909688
24,347.035,0.84528,0.53044,1.29509,0.99802,1,0.995,0.78957,0.81574,0.44964,1.35952,0.000894219,0.000894219,0.000894219
25,360.769,0.85339,0.54786,1.31254,0.99959,0.96491,0.99336,0.81949,0.69631,0.42083,1.24934,0.00087875,0.00087875,0.00087875
26,374.394,0.88559,0.55826,1.32683,0.96599,0.99659,0.99167,0.79855,0.73583,0.49233,1.30632,0.000863281,0.000863281,0.000863281
27,387.849,0.8176,0.53358,1.29411,0.97839,1,0.99328,0.79877,0.76287,0.45234,1.24418,0.000847813,0.000847813,0.000847813
28,401.864,0.86117,0.53522,1.30281,0.98217,0.96616,0.99415,0.79168,0.7577,0.44379,1.29548,0.000832344,0.000832344,0.000832344
29,415.807,0.81503,0.5083,1.28507,0.94849,0.91228,0.96373,0.75499,0.79564,0.51244,1.3144,0.000816875,0.000816875,0.000816875
30,429.205,0.79542,0.49779,1.26057,0.99716,1,0.995,0.81,0.76462,0.4125,1.29303,0.000801406,0.000801406,0.000801406
31,442.664,0.83143,0.49956,1.31229,0.97824,1,0.99241,0.82253,0.72134,0.41642,1.27302,0.000785938,0.000785938,0.000785938
32,456.122,0.83227,0.5012,1.282,0.94942,0.98804,0.98154,0.79206,0.7149,0.4569,1.25773,0.000770469,0.000770469,0.000770469
33,469.464,0.80633,0.5001,1.27923,1,0.9998,0.995,0.8381,0.66321,0.36604,1.20068,0.000755,0.000755,0.000755
34,482.998,0.81048,0.50802,1.26046,0.96355,0.98246,0.98132,0.76949,0.79547,0.47995,1.3378,0.000739531,0.000739531,0.000739531
35,496.362,0.79279,0.50199,1.29818,0.97556,0.98246,0.99434,0.82565,0.64489,0.43912,1.16307,0.000724062,0.000724062,0.000724062
36,510.232,0.79062,0.46246,1.25498,0.99622,1,0.995,0.8334,0.65401,0.37764,1.16344,0.000708594,0.000708594,0.000708594
37,524.724,0.76599,0.46337,1.23648,0.9656,1,0.99448,0.82425,0.71451,0.39462,1.24968,0.000693125,0.000693125,0.000693125
38,539.738,0.79646,0.46556,1.26001,0.99774,0.98246,0.99483,0.80049,0.69512,0.40037,1.19352,0.000677656,0.000677656,0.000677656
39,553.601,0.75981,0.46074,1.24049,0.92541,0.98246,0.98648,0.77696,0.72094,0.48548,1.311,0.000662188,0.000662188,0.000662188
40,567.678,0.74544,0.43389,1.22109,0.96025,0.98246,0.97782,0.74699,0.7995,0.46006,1.33008,0.000646719,0.000646719,0.000646719
41,581.944,0.77156,0.44547,1.24358,0.98133,1,0.995,0.80601,0.72832,0.36605,1.22279,0.00063125,0.00063125,0.00063125
42,595.94,0.75709,0.44418,1.24926,0.98112,0.96491,0.99133,0.82266,0.65054,0.41991,1.18798,0.000615781,0.000615781,0.000615781
43,610.007,0.74146,0.43728,1.22804,0.98479,0.96491,0.99415,0.8567,0.6162,0.33501,1.13796,0.000600313,0.000600313,0.000600313
44,624.446,0.78947,0.4555,1.26682,0.99648,0.98246,0.985,0.84247,0.61991,0.338,1.14122,0.000584844,0.000584844,0.000584844
45,638.571,0.74785,0.4408,1.2484,0.99385,0.96491,0.98398,0.80781,0.74637,0.41465,1.2525,0.000569375,0.000569375,0.000569375
46,652.845,0.73615,0.44978,1.25357,0.97942,1,0.99328,0.86413,0.55752,0.35822,1.09652,0.000553906,0.000553906,0.000553906
47,666.786,0.75749,0.44403,1.2563,0.99602,1,0.995,0.8764,0.51212,0.31231,1.03878,0.000538438,0.000538438,0.000538438
48,680.136,0.69729,0.42017,1.20536,0.99844,1,0.995,0.86677,0.56575,0.33195,1.1023,0.000522969,0.000522969,0.000522969
49,693.618,0.70504,0.41158,1.19737,0.98035,1,0.995,0.8623,0.55147,0.3457,1.09301,0.0005075,0.0005075,0.0005075
