epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.165,0.84847,3.25814,1.40442,0.40075,0.50922,0.43612,0.33798,0.82585,1.93088,1.3189,0.000123287,0.000123287,0.000123287
2,795.957,0.7515,2.04587,1.30629,0.64007,0.70752,0.6854,0.5234,0.82903,1.42043,1.32437,0.000238481,0.000238481,0.000238481
3,1171.65,0.71797,1.65036,1.27268,0.70606,0.79867,0.80427,0.66645,0.72949,1.40763,1.21553,0.000345536,0.000345536,0.000345536
4,1548.28,0.67987,1.40185,1.24296,0.75779,0.83436,0.84897,0.71097,0.69541,1.53407,1.17835,0.00033337,0.00033337,0.00033337
5,1922.94,0.65646,1.23729,1.22118,0.79362,0.85177,0.88689,0.75879,0.65804,1.27353,1.12713,0.00032116,0.00032116,0.00032116
6,2298.69,0.62879,1.11757,1.19817,0.81196,0.88793,0.8987,0.77736,0.65074,1.04309,1.12957,0.00030895,0.00030895,0.00030895
7,2674.54,0.60617,1.02611,1.17953,0.85316,0.89898,0.91898,0.80416,0.62242,0.90003,1.08277,0.00029674,0.00029674,0.00029674
8,3051.91,0.59393,0.94982,1.17146,0.87269,0.89896,0.928,0.81627,0.62454,0.96712,1.08446,0.00028453,0.00028453,0.00028453
9,3429.34,0.58185,0.91022,1.16295,0.86273,0.92425,0.92572,0.81959,0.60133,0.87021,1.06641,0.00027232,0.00027232,0.00027232
10,3806.48,0.56717,0.85845,1.14943,0.85165,0.91773,0.92914,0.82596,0.59669,0.78865,1.05046,0.00026011,0.00026011,0.00026011
11,4185.27,0.55608,0.82279,1.14348,0.89004,0.92487,0.93911,0.84147,0.58145,0.73228,1.04643,0.0002479,0.0002479,0.0002479
12,4561.52,0.54894,0.79057,1.13743,0.90232,0.92735,0.94355,0.8491,0.57553,0.73654,1.02637,0.00023569,0.00023569,0.00023569
13,4940.2,0.53352,0.7636,1.12917,0.91501,0.92582,0.95008,0.85915,0.54858,0.65058,1.00018,0.00022348,0.00022348,0.00022348
14,5316.4,0.52583,0.74409,1.12238,0.88136,0.93224,0.94691,0.86192,0.54001,0.65174,0.99176,0.00021127,0.00021127,0.00021127
15,5694.39,0.51507,0.71291,1.11515,0.91393,0.93863,0.95758,0.87269,0.53232,0.61232,0.98798,0.00019906,0.00019906,0.00019906
16,6071.4,0.50685,0.69835,1.10973,0.91112,0.94987,0.95623,0.87716,0.5127,0.63823,0.9665,0.00018685,0.00018685,0.00018685
17,6446.89,0.50151,0.67232,1.10557,0.90922,0.94646,0.95825,0.88017,0.51269,0.60088,0.9721,0.00017464,0.00017464,0.00017464
18,6824.93,0.49084,0.64196,1.09524,0.9224,0.94786,0.96065,0.87931,0.5149,0.58433,0.97139,0.00016243,0.00016243,0.00016243
19,7201.41,0.48261,0.63709,1.09274,0.92705,0.94474,0.96321,0.88287,0.50238,0.58098,0.95498,0.00015022,0.00015022,0.00015022
20,7578.14,0.48443,0.62119,1.09015,0.93609,0.93978,0.96368,0.88641,0.4961,0.56251,0.94963,0.00013801,0.00013801,0.00013801
21,7965.01,0.44818,0.5005,1.12392,0.92234,0.96519,0.97039,0.89128,0.49225,0.48575,0.94398,0.0001258,0.0001258,0.0001258
22,8339.43,0.43023,0.45266,1.10488,0.92808,0.96159,0.97355,0.90255,0.4684,0.50347,0.92315,0.00011359,0.00011359,0.00011359
23,8713.08,0.41069,0.41773,1.08756,0.93963,0.95784,0.97441,0.90772,0.45639,0.47146,0.90965,0.00010138,0.00010138,0.00010138
24,9087.66,0.39965,0.40055,1.077,0.93424,0.96579,0.97525,0.9076,0.44559,0.45735,0.89761,8.917e-05,8.917e-05,8.917e-05
25,9462.39,0.38764,0.38094,1.07124,0.94245,0.96178,0.97549,0.91216,0.43518,0.44502,0.88567,7.696e-05,7.696e-05,7.696e-05
26,9836.45,0.37708,0.36861,1.06158,0.94786,0.95722,0.97735,0.9154,0.4287,0.43219,0.8809,6.475e-05,6.475e-05,6.475e-05
27,10211.9,0.36888,0.35718,1.04736,0.95143,0.95944,0.97993,0.92111,0.42295,0.41468,0.87576,5.254e-05,5.254e-05,5.254e-05
28,10584.8,0.35873,0.34156,1.04126,0.95241,0.96261,0.98124,0.92393,0.4124,0.41034,0.86375,4.033e-05,4.033e-05,4.033e-05
29,10958.9,0.35129,0.33424,1.03201,0.9416,0.96522,0.98117,0.92653,0.40515,0.40853,0.85678,2.812e-05,2.812e-05,2.812e-05
30,11333.3,0.34327,0.3232,1.0264,0.9529,0.96408,0.98213,0.92756,0.40058,0.40086,0.85124,1.591e-05,1.591e-05,1.591e-05
