epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,259.084,0.92612,3.25438,1.45112,0.47707,0.50421,0.47296,0.30721,1.16698,1.74944,1.63394,0.00998483,0.00332828,0.00998483,0.00332828,0.00998483,0.00332828,0.00998483,0.00332828
2,467.935,0.87188,1.93007,1.37521,0.58668,0.65786,0.66104,0.45247,1.11441,1.51166,1.64806,0.0197375,0.00657917,0.0197375,0.00657917,0.0197375,0.00657917,0.0197375,0.00657917
3,668.907,0.90922,1.72838,1.39601,0.58362,0.6019,0.6187,0.42427,1.11865,1.67407,1.66729,0.0292427,0.00974757,0.0292427,0.00974757,0.0292427,0.00974757,0.0292427,0.00974757
4,867.143,0.92089,1.55118,1.39609,0.6628,0.76628,0.77085,0.56515,1.04867,1.18718,1.59008,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1063.83,0.86965,1.28734,1.34914,0.68456,0.73135,0.77629,0.58273,0.9526,1.20934,1.47717,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1261.09,0.82439,1.11911,1.31598,0.74528,0.82996,0.84517,0.66219,0.90395,0.91771,1.35619,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1458.4,0.78855,1.0152,1.29305,0.81059,0.86659,0.88134,0.70694,0.86476,0.79126,1.3126,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1655.6,0.76335,0.94547,1.27334,0.79073,0.85483,0.87442,0.71421,0.78863,0.77084,1.2529,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1853.46,0.73628,0.89465,1.24945,0.82372,0.87436,0.89111,0.71442,0.83604,0.70913,1.28254,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2050.99,0.71236,0.83946,1.23325,0.82036,0.90737,0.91189,0.74482,0.80492,0.6952,1.2634,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
