epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.137,0.84262,2.68346,1.40245,0.35215,0.53705,0.39639,0.28702,0.91624,1.55497,1.42894,0.000123146,0.000123146,0.000123146
2,973.257,0.71162,1.49488,1.2718,0.69125,0.74966,0.75536,0.58514,0.83912,1.05975,1.34789,0.000241599,0.000241599,0.000241599
3,1448,0.67898,1.1953,1.23094,0.75666,0.7235,0.77544,0.5908,0.78858,0.97948,1.28552,0.000355168,0.000355168,0.000355168
4,1915.93,0.64764,1.01654,1.20858,0.77593,0.77455,0.8225,0.70642,0.69687,0.89179,1.1765,0.000348022,0.000348022,0.000348022
5,2387.27,0.61664,0.91378,1.18651,0.80782,0.80573,0.87932,0.74469,0.68215,0.74246,1.15969,0.000340696,0.000340696,0.000340696
6,3108.57,0.59626,0.83077,1.16897,0.84717,0.83575,0.90146,0.79241,0.63663,0.66207,1.12189,0.00033337,0.00033337,0.00033337
7,3606.87,0.57904,0.778,1.15673,0.87353,0.8815,0.9262,0.81007,0.64746,0.64277,1.12211,0.000326044,0.000326044,0.000326044
8,4071.68,0.55869,0.73482,1.14001,0.89437,0.87348,0.92821,0.81637,0.63115,0.62121,1.10731,0.000318718,0.000318718,0.000318718
9,4536.46,0.55246,0.7017,1.136,0.90751,0.9033,0.94592,0.84774,0.59683,0.55014,1.05954,0.000311392,0.000311392,0.000311392
10,5001.87,0.53825,0.66724,1.1182,0.90138,0.90163,0.95094,0.85286,0.59144,0.5361,1.0641,0.000304066,0.000304066,0.000304066
11,5468.16,0.53191,0.6513,1.12114,0.92813,0.88352,0.94892,0.85643,0.57008,0.53634,1.04009,0.00029674,0.00029674,0.00029674
12,5934.68,0.51599,0.62659,1.10949,0.93066,0.9014,0.95852,0.86655,0.56803,0.52204,1.03361,0.000289414,0.000289414,0.000289414
13,6401.36,0.5097,0.60421,1.10493,0.93455,0.90085,0.95704,0.8748,0.54357,0.48803,1.01673,0.000282088,0.000282088,0.000282088
14,6866.29,0.50779,0.60255,1.10206,0.93392,0.92378,0.963,0.87234,0.55131,0.48753,1.01163,0.000274762,0.000274762,0.000274762
15,7331.99,0.49511,0.57676,1.09347,0.9306,0.91814,0.96221,0.88564,0.51881,0.47084,0.99316,0.000267436,0.000267436,0.000267436
16,7802.75,0.48811,0.56851,1.08961,0.93788,0.91796,0.9652,0.8798,0.53067,0.47946,0.98865,0.00026011,0.00026011,0.00026011
17,8269.48,0.48047,0.5533,1.08379,0.94179,0.90489,0.96088,0.88274,0.51736,0.46953,0.98059,0.000252784,0.000252784,0.000252784
18,8737.41,0.48415,0.54121,1.08466,0.94473,0.93011,0.96881,0.89547,0.49426,0.44453,0.95114,0.000245458,0.000245458,0.000245458
19,9249.96,0.47501,0.53591,1.08086,0.94237,0.92634,0.96757,0.89899,0.48825,0.44307,0.94346,0.000238132,0.000238132,0.000238132
