epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.33,1.17748,3.06149,1.43304,0.44015,0.59798,0.54635,0.37855,1.04089,1.92195,1.36698,0.000174561,0.000174561,0.000174561
2,203.509,1.16983,1.91184,1.40873,0.65355,0.7462,0.72601,0.51806,1.00178,1.33867,1.33783,0.000345564,0.000345564,0.000345564
3,296.226,1.14905,1.63353,1.39278,0.70134,0.66991,0.70149,0.51831,0.94651,1.43549,1.33404,0.000512228,0.000512228,0.000512228
4,388.668,1.14621,1.47826,1.37892,0.83035,0.7245,0.79432,0.60485,0.9173,1.17298,1.31022,0.000506472,0.000506472,0.000506472
5,502.144,1.11545,1.35215,1.34985,0.74463,0.67815,0.72925,0.55973,0.8716,1.35963,1.25697,0.000499963,0.000499963,0.000499963
6,619.845,1.11329,1.24822,1.34679,0.72889,0.7664,0.77139,0.57367,0.93436,1.14212,1.26336,0.000493454,0.000493454,0.000493454
7,713.33,1.07759,1.16846,1.31794,0.83192,0.77258,0.81109,0.5949,1.00383,1.01482,1.30992,0.000486945,0.000486945,0.000486945
8,811.213,1.07605,1.11817,1.31385,0.75704,0.74746,0.77441,0.59204,0.88912,1.07883,1.24868,0.000480435,0.000480435,0.000480435
9,903.01,1.0458,1.03223,1.29247,0.80224,0.81149,0.82377,0.65488,0.82265,0.91719,1.21305,0.000473926,0.000473926,0.000473926
10,994.215,1.04028,1.00411,1.29329,0.88882,0.73331,0.83495,0.66837,0.77653,0.90192,1.17383,0.000467417,0.000467417,0.000467417
11,1086.61,1.03371,0.99765,1.29055,0.76389,0.80977,0.82226,0.65591,0.79206,0.95441,1.16111,0.000460907,0.000460907,0.000460907
12,1180.26,1.01169,0.95986,1.27696,0.77067,0.81893,0.83897,0.66457,0.80115,0.88268,1.20043,0.000454398,0.000454398,0.000454398
13,1268.74,0.99573,0.88668,1.26978,0.81674,0.80155,0.83727,0.67846,0.75037,0.8473,1.14808,0.000447889,0.000447889,0.000447889
14,1358.83,1.00346,0.89318,1.26769,0.74841,0.81879,0.82313,0.66023,0.76488,0.93697,1.1601,0.00044138,0.00044138,0.00044138
15,1453.94,0.98902,0.86182,1.25805,0.82986,0.81733,0.82937,0.67082,0.72798,0.82089,1.12298,0.00043487,0.00043487,0.00043487
16,1554.6,0.987,0.85569,1.25976,0.85125,0.84699,0.86322,0.69686,0.75902,0.73997,1.15243,0.000428361,0.000428361,0.000428361
17,1646.48,0.97028,0.84419,1.24957,0.86174,0.81346,0.84929,0.68726,0.73521,0.80839,1.13517,0.000421852,0.000421852,0.000421852
